source,translation_reference,translation_hypothesis,sentence_bleu_score
"Ustedes saben que lo que yo hago es escribir para los nios, y, de hecho, probablemente soy el autor para nios, ms ledo en los EEUU.","You know, what I do is write for children,  and I'm probably America's  most widely read children's author, in fact.","You know that what I do is write for kids, and in fact, I'm probably the author for kids, the most literate in the United States.",0.22152121615450707
Y siempre le digo a la gente que no quiero parecer como un cientfico.,And I always tell people  that I don't want to show up looking like a scientist.,And I always tell people I don't want to look like a scientist.,0.46059894698712367
"Puedo vestirme como agricultor, o con ropa de cuero, y nunca nadie ha elegido un agricultor.","You can have me as a farmer, or in leathers,  and no one has ever chose farmer.","I can dress as a farmer, or in leather clothes, and no one has ever chosen a farmer.",0.4208598069524091
Hoy estoy aqu para hablarles sobre crculos y epifanas.,I'm here today to talk to you  about circles and epiphanies.,I'm here today to talk to you about chronicles and epiphanes.,0.6989307622784944
Y saben que una epifana generalmente es algo que se te cay en algn lugar.,"And you know, an epiphany  is usually something you find that you dropped someplace.",And they know that an epiphane is usually something you fall for somewhere.,0.20595660955382236
Solo tienes que dar vuelta a la manzana para verlo como una epifana.,You've just got to go around the block  to see it as an epiphany.,You just have to turn the block to see it as an epiphany.,0.5476690957693973
Esa es la pintura de un crculo.,That's a painting of a circle.,That's a crucible painting.,0.38753858253732953
Un amigo mo hizo eso -- Richard Bollingbroke.,A friend of mine did that -- Richard Bollingbroke.,A friend of mine did that-- Richard Bollingbroke.,0.5247357977607321
Es el tipo de crculo complicado del cual les voy a hablar.,It's the kind of complicated circle  that I'm going to tell you about.,It's the kind of complicated circle I'm going to tell you about.,0.7677331684336531
"Mi crculo comenz en los aos '60 en la escuela media, en Stow, Ohio donde yo era el raro de la clase.","My circle began back in the '60s  in high school in Stow, Ohio  where I was the class queer.","My cruculum started in the '60s in middle school, in Stow, Ohio where I was the weirdo in the class.",0.42461633178803443
"Al que golpeaban hasta sangrar cada semana en el bao de los chicos, hasta que una maestra me salv la vida.","I was the guy beaten up bloody  every week in the boys' room,  until one teacher saved my life.","The one they beat up to bleed every week in the boys' bathroom, until a teacher saved my life.",0.3411488281065382
Ella salv mi vida al permitirme entrar al bao de la sala de profesores.,She saved my life by letting me go to the bathroom  in the teachers' lounge.,She saved my life by letting me into the teacher room bathroom.,0.4152312948102932
"Lo haca en secreto,",She did it in secret.,"He does it in secret,",0.5623413251903491
"por 3 aos,",She did it for three years.,"for 3 years,",0.27952792741962756
y tuve que irme de la ciudad.,And I had to get out of town.,And I had to leave town.,0.38498150077635496
"Tena un pulgar, y 85 dlares, y termin en San Francisco, California -- encontr un amante -- y en los aos '80, sent la necesidad de comenzar a trabajar en organizaciones que luchaban contra el SIDA.","I had a thumb, I had 85 dollars,  and I ended up in San Francisco, California --  met a lover --  and back in the '80s, found it necessary  to begin work on AIDS organizations.","He had a thumb, and 85 dollars, and he ended up in San Francisco, California -- found a lover -- and in the '80s, he felt the need to start working in organizations fighting AIDS.",0.3385074772121384
"Hace unos 3 o 4 aos, a mitad de la noche recib una llamada telefnica de esa maestra, la seora Posten que dijo, ""Necesito verte.","About three or four years ago,  I got a phone call in the middle of the night  from that teacher, Mrs. Posten,  who said, ""I need to see you.","About 3 or 4 years ago, in the middle of the night I received a telephonic call from that teacher, the seora Posten who said, ""I need to see you.",0.4302572686325678
Estoy desilusionada que de adultos nunca llegamos a conocernos.,I'm disappointed  that we never got to know each other as adults.,I'm disappointed that as adults we never got to know each other.,0.5452469119630863
"podras venirte a Ohio, y por favor trae a ese hombre que s que ya has encontrado.","Could you please come to Ohio,  and please bring that man  that I know you have found by now.","You can come to Ohio, and please bring that man you've already found.",0.35257733641797806
"Y debo decirte que tengo cncer de pncreas, y me gustara que te apures con esto por favor"".","And I should mention  that I have pancreatic cancer,  and I'd like you to please  be quick about this.""","And I have to tell you, I've got some pncreas, and I'd like you to hurry up with this, please.""",0.22308576866161578
"Bien, al da siguiente estbamos en Cleveland.","Well, the next day we were in Cleveland.","Well, the next day we were in Cleveland.",1.0
"La fuimos a ver, nos remos, lloramos, y nos dimos cuenta que ella necesitaba ser hospitalizada.","We took a look at her, we laughed, we cried,  and we knew that she needed to be in a hospice.","We went to see her, we laughed, we cried, and we realized she needed to be hospitalized.",0.40085653059964527
"Le encontramos un lugar, la internamos, y la cuidamos y nos encargamos de su familia, porque era necesario,","We found her one, we got her there,  and we took care of her  and watched over her family,  because it was necessary.","We found her a place, we put her in, and we took care of her and we took care of her family, because it was necessary,",0.4185938787651429
es algo que sabamos cmo hacer.,It's something we knew how to do.,It's something we know how to do.,0.691441569283882
"Y as como la mujer que quera conocerme como adulto lleg a conocerme, se convirti en una caja de cenizas y fue puesta en mis manos.","And just as the woman who wanted to know me as an adult  got to know me,  she turned into a box of ashes  and was placed in my hands.","And as the woman who wanted to meet me as an adult came to know me, she became a box of ashes and was put into my hands.",0.4947126625134443
"Y lo que sucedi fue que el crculo se haba cerrado, se haba convertido en un crculo -- y esa epifana de la que les habl se hizo presente en s misma.","And what had happened  was the circle had closed,  it had become a circle --  and that epiphany I talked about  presented itself.","And what happened was that the circle was closed, it had become a circle -- and that epiphany of which I spoke to them became present in itself.",0.39609709429702616
La epifana es que la muerte es parte de la vida.,The epiphany is  that death is a part of life.,The epiphany is that death is part of life.,0.6690484408935986
"Ella salv mi vida, mi pareja y yo salvamos la de ella.",She saved my life;  I and my partner saved hers.,"She saved my life, my partner and I saved hers.",0.4728708045015879
Y saben que esa parte de la vida necesita todo lo que el resto de la vida.,"And you know, that part of life needs everything  that the rest of life does.",And you know that part of life needs everything that the rest of life.,0.677111132309861
"Necesita verdad y belleza, y estoy muy felz que hoy se habl mucho de esto.","It needs truth and beauty,  and I'm so happy it's been mentioned so much here today.","It needs truth and beauty, and I am very happy that today we talked a lot about this.",0.2749977595322415
"Tambin necesita -- necesita dignidad, amor y placer. Y es nuestro trabajo proporcionar esas cosas.","It also needs --  it needs dignity,  love and pleasure,  and it's our job to hand those things out.",And it's our job to provide those things.,0.09242683479084891
Gracias.,Thank you.,Thank you.,1.0
"Como artista, la conexin es muy importante para m.","As an artist,  connection is very important to me.","As an artist, the connection is very important to me.",0.6580370064762462
"A travs de mi trabajo, estoy tratando de expresar que los humanos no estn separados de la naturaleza y que todo est interconectado.",Through my work I'm trying to articulate  that humans are not separate from nature  and that everything is interconnected.,"Through my work, I am trying to express that humans are not separated from nature and that everything is interconnected.",0.47207580389427084
"Fui por primera vez a la Antrtida hace casi 10 aos, y all vi mis primeros tmpanos.","I first went to Antarctica almost 10 years ago,  where I saw my first icebergs.","I went to Antrtida for the first time almost 10 years ago, and there I saw my first tmpanos.",0.2915369229944523
Yo estaba asombrada.,I was in awe.,I was amazed.,0.5444460596606694
"Mi corazn lata rpido, estaba mareada, tratando de entender lo que estaba delante de m.","My heart beat fast, my head was dizzy,  trying to comprehend what it was that stood in front of me.","My heart was fast, I was dizzy, trying to understand what was in front of me.",0.2798263237576258
